Restaurant,Avg_Price
Grandma's Secrets,105.38
The East Wing fka The Havana Room,92
Empire Steak House,90.32
Ben's Kosher Delicatessen,58.96
Pier A,55.8
Shuraku,49.83
Lasagna Ristorante,47.59
Cosi Catering (NYC),46.31
Gran Morsi,44.82
Don Giovanni Ristorante,43.1
Hogshead Tavern,42.67
Katz's Delicatessen,41.94
Pomodoro Rosso,41.73
Robert's Restaurant,41.35
Artichoke Basille's Pizza and Bar,35
La Brochette Kosher Steakhouse,33.92
Silvana,33.04
Joy Curry & Tandoor,31.92
Neary's,29.95
Vitae,29.67
Monte-Carlo,29.12
Miss Korea BBQ,28.31
Byblos,28.09
Fabio Cucina Italiana,26.69
NYY Steak Midtown,26.26
Jung Sik,26.23
Ricardo Ocean Grill,25.25
Sal's Little Italy,24.58
Bella Blu,23.62
Peking Duck House,23.47
Mama Mia 44 SW,23.29
Chicken Curry House,23.06
Wok Wok Southeast Asian Kitchen,22.45
Mexican Festival Restaurant,22.3
Prime Butcher Baker,22.26
Meson Sevilla,21.95
La Panineria - Sandwich Shop,21.87
Vacca Grill & Lounge,21.7
Negril Village,21.5
Isabelle's Osteria,21.42
Matryoshka,21.42
OBICA Mozzarella Bar,21.14
Gina La Fornarina,20.91
Louie and Chan,20.89
Nisi,20.89
Goodman's Cafe,20.65
GROM at Columbus Circle,20.42
Tablao Tapas Y Restaurante,20.33
OCabanon,20.25
Pinocchio Restaurant,20.2
Au Za'atar,20.13
Cibo e Vino,20
SakaMai,19.89
Saigon Market Vietnamese Cooking,19.85
La Palapa,19.68
Oishi Bay Sushi Restaurant,19.68
Zest Japanese & Thai,19.53
Le Baratin,19.4
Trattoria Bianca,19.4
Queen of Sheba,19.29
Old Tbilisi Garden,19.12
Serengeti Teas & Spices,19.08
Mozzarella & Vino,19.05
Wing Factory,18.99
Sant Ambroeus,18.74
Da Noi,18.38
FC Gotham,18.08
Brick Oven Pizza 33,18.03
Delizia,18.01
La Vie En Szechuan,17.75
Ken & Cook,17.74
Parrilla Latina Steakhouse,17.47
Bagel Boss,17.36
Sabor A Mexico,17.35
Upland,17.33
Enzos Pizza,17.29
Savory and Sweet,17.15
Felice,17.13
Katsu-Hama,17.05
Adrienne's Pizza Bar,17
Tres Carnes,16.99
Joey Pepperoni's Pizza,16.92
Resca,16.9
Havana Heights,16.86
Bar Primi,16.83
Dallas BBQ,16.76
Muk Eun Ji,16.64
Solace Bar and Grill,16.62
The Triple Crown,16.62
Exotic Empanadas,16.45
Knickerbocker Bar & Grill,16.3
Jongro BBQ,16.17
Javelina - Upper East Side,16.12
Hudson Station,16.08
Restaurant La Libertad,16.07
Heavenly Market and Deli,15.96
Albert's Mofongo,15.87
Tuttles Bar & Grill,15.71
Cafe Clover,15.67
Biricchino,15.66
Nick's Pizza Bar ,15.63
Eden Wok,15.52
Gigino Trattoria,15.47
La Maria,15.41
Sienna's Italian Ristorante,15.41
Landmark Tavern,15.38
Benares Indian Restaurant,15.35
Mizu Sushi & Ramen,15.35
Luna Pizza,15.34
Pippali,15.33
Friedmans,15.29
Bay Kitchen Bar,15.24
Elmo,15.2
Lulu & Me,15.18
Red 58,15
The Peacock,15
Broadway Thai  Tom & Toon,14.87
Pho Bar,14.83
Phobar (Greenwich Village),14.83
Vesta Trattoria & Wine Bar,14.81
Slane,14.77
Amelie,14.67
Benares Restaurant,14.65
Cork 'N Fork,14.64
Mokbar,14.56
Ageha Sushi,14.51
Au Za'atar To Go,14.49
Charlie Bird,14.49
Hot Sichuan,14.49
Haru Amsterdam - 2001,14.48
Urban Vegan Kitchen,14.47
Manhattan Proper,14.46
Down The Road Pub,14.4
Sombrero Mexican Restaurant,14.4
Horchata,14.36
Pennsylvania 6 NYC,14.34
Ootoya Chelsea,14.33
Hana Michi,14.28
Baker Street Pub & Restaurant,14.27
Pad Thai,14.22
