Cuisine,Count of Cuisine
American,8729
French,4355
Chinese,3632
Swiss,2837
Japanese,2735
Thai,2635
Italian,2602
New England,2481
Sichuan,1592
Greek,1224
Mexican,1027
Hunan,935
Indian,760
Spanish,566
Cantonese,547
Mediterranean,544
Chilean,513
Korean,500
Singaporean,449
Irish,410
English,391
Scottish,356
Tuscan,347
Danish,346
Asian,324
Calabrian,315
Cajun/Creole,297
Malaysian,291
European,280
Vietnamese,274
Sicilian,264
Texas,263
Lebanese,240
Russian,239
Israeli,236
Kashmiri,227
Hawaiian,217
Norwegian,217
Marathi,212
Moroccan,196
Goan,189
Puerto Rican,175
Peshawari,162
Belgian,140
Middle Eastern,140
Punjabi,135
Tamil Nadu,114
Bengali,111
Canadian,104
Persian,84
Swedish,66
Peruvian,58
Lucknowi,54
Bihari,52
Campanian,52
Southern,45
Continental,39
Turkish,36
Cuban,34
Andhra,33
South Indian,32
Ethiopian,28
German,26
Friuli Venezia Giulia,24
Louisiana,23
African,20
Afghan,14
Caribbean,12
Georgian,8
South American,7
Portuguese,6
Brazilian,6
Uruguayan,5
