Resturant,Count of Dish_name
Yours Wholesome Foods Deli & Grocery,1376
Bell Diner,1232
Multi Tastes Diner,1107
Houston Village Farm Deli Cafe & Grocery,1050
S1 Grocers and Gourmet Deli,981
Mandarin Court Restaurant,882
The Best of NY Food,848
Mex Carroll's Diner,844
Suki Ichiro Sushi,843
Cafe BonJour Deli & Pizza,840
Tokyo Bay Japanese Restaurant,831
Nikko Hibachi Asian Fusion,816
Mizu Sushi & Ramen,798
Eros Meze,753
Ajisai Japanese Restaurant,672
Shanghai Heping Restaurant,654
Strokos Fine Foods,650
Akami Sushi,603
Pad Thai,600
Arturo's Pizza,582
Milosun Sushi,573
A1 Sushi Cafe,546
Izakaya Moku,546
Bagel Boss Cafe of Manhattan,528
New Sunny East 88,522
Guy & Gallard III,520
Hi Life Restaurant,516
Trattoria Bianca,516
327 Gourmet Deli,500
Cafe De Novo,498
Hop Lee Restaurant,495
Moshiko Falafel,492
Central Market New York,477
Q & N Foods,466
La Vie En Szechuan,465
Eden Wok,454
Grand Shanghai House,452
Garden Gourmet,450
Aquamarine 38,438
Ray's Gourmet Market,427
New Dragon,426
Cupping Room Cafe,420
Terrace Diner,410
Arome Cafe,407
Heavenly Market and Deli,406
Prime Cafe,399
August Gatherings,398
The Shake & Burger Bar,390
Blue Planet Grill,384
Bottino,375
Neptune Diner,362
Lexington Candy Shop,358
Manny's Gourmet,356
Joy Curry & Tandoor,333
Cafe 28 Gourmet Deli,321
Andy's Deli,318
Fresh & Co.,314
La Tropezienne Bakery,312
Wok Wok Southeast Asian Kitchen,309
Noels Pizza,302
Rasa,300
Oishi Bay Sushi Restaurant,296
Deli On Madison,292
Pomodoro Rosso,285
Fluffy's Caf & Pizzeria.,281
Benvenuto Tribeca,277
Sachi,276
Albert's Mofongo,273
Times Square Diner,255
Spice Thai  - 39 E 13th St,255
Prime Butcher Baker,252
Au Za'atar,249
Milano Market,249
Heart of India,249
Joey Pepperoni's Pizza,248
Premier Deli,244
Premier Deli ,244
Dining Room Management Group,244
Akimoto Sushi,240
Don Giovanni Ristorante,240
Bawarchi Indian Cuisine,237
Buongiorno Espresso Bar,234
Pita Grill,231
Sfilatino Italian Gourmet,228
Ginza Japanese Sushi Restaurant,228
Upstairs at '21',219
