Types of Dish,Count of Dish_Type
Burgers and Sandwiches,9930
Sushi,4337
Confectionery and Healthy Bars,3946
Cold Cuts,3278
Breads,2540
Pasta,2140
Coffee,2105
Poultry Based,1998
Rice and Grains,1967
Seafood Based,1813
Salad,1693
Soup,1684
Pizza,1598
Rolls / Wraps,1563
Noodles,1490
Processed Meat Based,1401
Beer,1400
Tea,1116
Snack,1061
Dessert,959
Juices,948
Beef Based,786
Chips,701
Flat Breads,669
Bowl,576
Fish Based,571
Egg Based,571
Chocolate and Candy,556
Pancake,555
Shakes,526
Pie,494
Cookie,464
Muffin,457
Dip and Sauce,450
Pastry,433
Pork Based,428
Cake,420
Ice Cream,343
Platter,342
Cereal,327
Lamb Based,321
Toppings,309
Dumpling,309
Yoghurt Based,262
Cupcake,245
Omelette / Frittata,234
Fizzy Drinks,211
Curry,199
Steaks and Sizzlers,192
Wine Based Drinks,188
Puffed Snacks,164
Biscuit,156
Dough and Crust,156
Biryani,155
Spice & Seasoning,152
Meal,145
Cocktail,140
Taco,128
Vegetable Based,123
Smoothie,113
Sundae,106
Casserole and Gratin,103
Popsicle,100
Savoury Essential,94
Puree and Paste,93
Lasagna,90
Diet and Nutrition,83
Stew,79
Brownie,78
Calzone,71
Burrito,64
Tart,55
Dosa Variants,50
Milk Based Drinks,48
Fajita,46
Dressing,44
Skewer,44
Parfait,42
Slush,34
Food Base / Instant Mix,26
Pudding,24
Pickle and Relish,23
Truffles,22
Whisky,20
Plain Drinks,20
Kebab,20
Sorbet,17
Crepe,16
Stromboli,13
Cheesecake,12
Gyro,12
Marshmallows,10
Macaron,8
Frozen Yoghurt,8
Doughnut,7
Mocktails,6
Waffle,6
Gin,6
Vodka,1
